dataset,window,seed,method,method_label,source_stage,shared_artifact_sha256,shared_code_sha256,sharpe,sortino,total_return,max_drawdown_improvement,calmar
portfolio_5stocks2,W3,456,pure_gift,Pure GIFT,Stage-C,f0451780a3fbdc129134c75c63c8e5b039165087c1cf0f973191e70738cab080,74dc05cc1103899a48fe882c6e9ffff650bbc7e04a85c7403dd819f7013b76f5,0.1561537424885035,0.14235575199883335,0.34003395634061295,9.981740685916323,0.3828429632100236
portfolio_5stocks2,W4,42,pbir,PBIR-GIFT,Stage-F,9ef25eff27dd8496d87c4b85dbd13769b95c5ebb4a711a49cd85951fb906fd2a,10f847b1ea485b81fdab888d39d7d4568c7c3e70be2339ac35f9e020565f123e,-0.3883382468455505,-0.39199833657237027,-3.2836405880788955,8.770449920435889,-0.7499152974286587
portfolio_5stocks2,W4,42,pure_gift,Pure GIFT,Stage-F,9ef25eff27dd8496d87c4b85dbd13769b95c5ebb4a711a49cd85951fb906fd2a,10f847b1ea485b81fdab888d39d7d4568c7c3e70be2339ac35f9e020565f123e,-0.8150796506158048,-0.8178340629832798,-7.300195659748077,12.248474510556612,-1.3233280974328165
portfolio_5stocks2,W4,123,pbir,PBIR-GIFT,Stage-F,49ec1b80cfbb3665f082480a21a9d9b2f8e290efa6659944a34ea703bd1a29db,02addf9008f6baa85bcfb534f59786a7a07dc4e28e880bad53a7f4f0007560ba,-0.27024229673579364,-0.3067728841845553,-3.231445327936211,12.537111597686671,-0.45308895267908
portfolio_5stocks2,W4,123,pure_gift,Pure GIFT,Stage-F,49ec1b80cfbb3665f082480a21a9d9b2f8e290efa6659944a34ea703bd1a29db,02addf9008f6baa85bcfb534f59786a7a07dc4e28e880bad53a7f4f0007560ba,0.2956130888607489,0.3191458402029056,1.2368019515610174,7.761792199616342,0.48376737843831474
portfolio_5stocks2,W4,456,pbir,PBIR-GIFT,Stage-F,7d78a593c18676b36ab62832255d3160bc3819ee31ce7ca1e390420ccc91e0bf,b8e5798786ec7f8fa527480bfeba92a5d09cace5669f01a412130a01100c8a9a,-0.19179298434601225,-0.19471057965737137,-2.1769453292975083,9.426723048311896,-0.3776905947818568
portfolio_5stocks2,W4,456,pure_gift,Pure GIFT,Stage-F,7d78a593c18676b36ab62832255d3160bc3819ee31ce7ca1e390420ccc91e0bf,b8e5798786ec7f8fa527480bfeba92a5d09cace5669f01a412130a01100c8a9a,0.055313217873818335,0.06057682492452261,-0.4148716096425198,11.30024384409318,0.10151839886409407
portfolio_5stocks2,W5,42,pbir,PBIR-GIFT,Stage-C,1c65f6f960179878274f007e1652aff44c4da07444e321db140e470cdc0fdfab,3ba02b28e955b76ee824e18bd4a073875a7678fa6f4c3fd0e8714ae7e2ede010,1.4704231234730856,1.6067632683895883,6.646704761181099,6.773736467203262,2.3684793808771794
portfolio_5stocks2,W5,42,pure_gift,Pure GIFT,Stage-C,1c65f6f960179878274f007e1652aff44c4da07444e321db140e470cdc0fdfab,3ba02b28e955b76ee824e18bd4a073875a7678fa6f4c3fd0e8714ae7e2ede010,0.8695672747039906,0.8804732400501495,5.143095044626578,10.578669929009987,1.2468948132074422
portfolio_5stocks2,W5,123,pbir,PBIR-GIFT,Stage-C,aa4d686d80b951460287c7f37f3b61a96f27da9684f34162632e74c4e00c6181,978d5f70a3823f24ba6799e7d8a486e6614cdbcd5a59a6d3163d1a589e152a48,1.9011519627476108,2.0728913904678725,10.846345303185046,7.6569137985849824,3.3476841064520433
portfolio_5stocks2,W5,123,pure_gift,Pure GIFT,Stage-C,aa4d686d80b951460287c7f37f3b61a96f27da9684f34162632e74c4e00c6181,978d5f70a3823f24ba6799e7d8a486e6614cdbcd5a59a6d3163d1a589e152a48,1.1975652671119468,1.2074766033105189,6.319069694271806,7.4879284211653365,2.077086215326864
portfolio_5stocks2,W5,456,pbir,PBIR-GIFT,Stage-C,71f4571f7775ca9f496b9d009f98d811969cc74e02144d8f94fa9e1fdf7dcba0,d01c5964121dac6c6428d07342c79459f8edc548eba1f3d227f1e167c069a282,2.058226631378188,2.231164138748806,12.664964656094856,7.105458463509572,4.176032532868139
portfolio_5stocks2,W5,456,pure_gift,Pure GIFT,Stage-C,71f4571f7775ca9f496b9d009f98d811969cc74e02144d8f94fa9e1fdf7dcba0,d01c5964121dac6c6428d07342c79459f8edc548eba1f3d227f1e167c069a282,2.342164395962564,2.7454976893806746,14.477411397549078,8.609523248372662,3.889970343226886
portfolio_5stocks2,W6,42,pbir,PBIR-GIFT,Stage-F,bba44989c539203bb8a263f5d6d45a4ec3ee7571e00ee22966c7246fb0597106,09d62a8a68e04f65480c66a46343c4ba94ef20b0aa8768ce81fe58ece15ec40d,1.0952086134155314,1.0063691246964828,4.729393156630279,9.757214982230341,1.2071632645284225
portfolio_5stocks2,W6,42,pure_gift,Pure GIFT,Stage-F,bba44989c539203bb8a263f5d6d45a4ec3ee7571e00ee22966c7246fb0597106,09d62a8a68e04f65480c66a46343c4ba94ef20b0aa8768ce81fe58ece15ec40d,1.5024412358411436,1.430125695927289,8.675340994009062,11.340958135503497,1.865635663078042
portfolio_5stocks2,W6,123,pbir,PBIR-GIFT,Stage-F,0288e7dbe1a4d167ff2f965e98d37ef654a9ecd7a205ffd5356448f91290ad58,2446c153a37a3c3399b6e31b7be6ea09117ec600735d91cd7f9010e0c2d05078,1.0355426214995893,0.9442287391907996,4.939302843215776,8.644269033039771,1.43479630584567
portfolio_5stocks2,W6,123,pure_gift,Pure GIFT,Stage-F,0288e7dbe1a4d167ff2f965e98d37ef654a9ecd7a205ffd5356448f91290ad58,2446c153a37a3c3399b6e31b7be6ea09117ec600735d91cd7f9010e0c2d05078,0.30504110480181085,0.2915661987153782,1.2394916546524692,10.513373734277877,0.3552679179180069
portfolio_5stocks2,W6,456,pbir,PBIR-GIFT,Stage-F,cfe5fe34a5b8ca0c7f5b4aecec0128743dd2c8f52e6c921b0d987499bbc415c4,57e968b428f42388cf5aacccf6ccbe57ba9652a7e5ca3852fd3398a00e1b8678,0.5958655160086012,0.6065359690856934,2.341056728268631,7.962599466277758,0.7708381618319827
portfolio_5stocks2,W6,456,pure_gift,Pure GIFT,Stage-F,cfe5fe34a5b8ca0c7f5b4aecec0128743dd2c8f52e6c921b0d987499bbc415c4,57e968b428f42388cf5aacccf6ccbe57ba9652a7e5ca3852fd3398a00e1b8678,0.8185920072225753,0.8153135548442829,4.248928578746436,8.811987075820833,1.246760809032692
