dataset,window,seed,method,baseline_source_stage,test_total_return,test_sharpe,test_sortino,test_max_drawdown,test_calmar
portfolio_5stocks2,W2,123,ppo_train_plus_test,Stage-E,0.01753382438454132,0.06558715005003073,0.06156503809479476,6.163390773610368,0.13201963073065595
portfolio_5stocks2,W2,123,equal_weight,Stage-E,5.336885332653862,0.9738935185894667,0.9276971877859119,4.916922091616435,2.732401971579166
portfolio_5stocks2,W2,456,pure_gift,Stage-B,4.543081813893557,0.9344333584435186,0.8938609365975856,4.967722896174042,2.297077412197775
portfolio_5stocks2,W2,456,ppo_test_only,Stage-E,1.9970017430308573,0.45517189058029556,0.4665838541437791,5.380452308504174,1.0162003877121848
portfolio_5stocks2,W2,456,ppo_train_plus_test,Stage-E,4.8320688519365,0.9089769284683131,0.86051178161914,4.671137374807946,2.6193913755125373
portfolio_5stocks2,W2,456,equal_weight,Stage-E,5.336885332653862,0.9738935185894667,0.9276971877859119,4.916922091616435,2.732401971579166
portfolio_5stocks2,W3,42,pure_gift,Stage-B,-2.757400592629511,-0.16566369487094532,-0.14435010361271655,10.91228986503253,-0.35817385686333914
portfolio_5stocks2,W3,42,ppo_test_only,Stage-D,-7.268273854213736,-0.7456958544770453,-0.6522043286932103,14.498503141438452,-1.0923820937261706
portfolio_5stocks2,W3,42,ppo_train_plus_test,Stage-D,-5.982097848271328,-0.5902560391582328,-0.5284096742130443,9.318837294859907,-1.3449434208211088
portfolio_5stocks2,W3,42,equal_weight,Stage-D,-6.20660398444376,-0.4783454467141283,-0.4125051377568512,14.727331725324772,-0.8238519771549256
portfolio_5stocks2,W3,123,pure_gift,Stage-B,-7.04329179256673,-0.5340102527970949,-0.4409244530068397,18.62334065555084,-0.7537591680367102
portfolio_5stocks2,W3,123,ppo_test_only,Stage-D,-4.472951878566889,-0.2936108580136335,-0.2614146633411442,14.545689378086013,-0.5230370222827554
portfolio_5stocks2,W3,123,ppo_train_plus_test,Stage-D,-13.952176927456838,-1.23086148235358,-1.0794002618757885,17.111534598994435,-1.9001867083319925
portfolio_5stocks2,W3,123,equal_weight,Stage-D,-6.20660398444376,-0.4783454467141283,-0.4125051377568512,14.727331725324772,-0.8238519771549256
portfolio_5stocks2,W3,456,pure_gift,Stage-B,-6.80011230563744,-0.5623335327255665,-0.47206713911459797,16.88995452184431,-0.8196599565359369
portfolio_5stocks2,W3,456,ppo_test_only,Stage-D,-4.794736273053957,-0.42121825940276053,-0.35629326965632924,11.955273005939524,-0.7800369362048409
portfolio_5stocks2,W3,456,ppo_train_plus_test,Stage-D,-11.100550772674278,-1.0906773441879276,-0.9275067099375979,19.684986963934755,-1.2940475024278326
portfolio_5stocks2,W3,456,equal_weight,Stage-D,-6.20660398444376,-0.4783454467141283,-0.4125051377568512,14.727331725324772,-0.8238519771549256
portfolio_5stocks2,W4,42,pure_gift,Stage-B,-7.307462646201679,-0.8378740394372658,-0.9038638193939044,10.439952986193171,-1.5627563644306015
portfolio_5stocks2,W4,42,ppo_test_only,Stage-E,7.82680716765074,1.2230504939145748,1.3986507438912144,9.057462363828972,2.1350556043031794
portfolio_5stocks2,W4,42,ppo_train_plus_test,Stage-E,3.2083443178687165,0.48321149075629644,0.4638186651222939,10.97374482999469,0.8680906374103335
portfolio_5stocks2,W4,42,equal_weight,Stage-E,-1.3835304446524699,-0.015438249292192946,-0.01652725729725395,13.352813526106832,-0.028198890519674356
portfolio_5stocks2,W4,123,pure_gift,Stage-B,-0.5036977941040299,0.04143061147681898,0.04355351239888378,11.857348392497922,0.07090068349356039
portfolio_5stocks2,W4,123,ppo_test_only,Stage-E,-3.5099710433769915,-0.214920577119166,-0.22924385469349473,14.396003926209136,-0.3760222732481064
portfolio_5stocks2,W4,123,ppo_train_plus_test,Stage-E,-13.293862827310665,-1.1414566915849025,-1.234038915605487,19.6597346072444,-1.5584011014525185
portfolio_5stocks2,W4,123,equal_weight,Stage-E,-1.3835304446524699,-0.015438249292192946,-0.01652725729725395,13.352813526106832,-0.028198890519674356
portfolio_5stocks2,W4,456,pure_gift,Stage-B,2.0933871612326405,0.3968579245853632,0.418952493258652,7.951264260894396,0.7781165670638859
portfolio_5stocks2,W4,456,ppo_test_only,Stage-E,16.509988868872448,1.636723129999724,1.6903430212040855,13.828277340531347,2.86590127677402
portfolio_5stocks2,W4,456,ppo_train_plus_test,Stage-E,-14.317832523865947,-1.277947312399449,-1.3943585714657813,20.51732102426041,-1.6385158267755824
portfolio_5stocks2,W4,456,equal_weight,Stage-E,-1.3835304446524699,-0.015438249292192946,-0.01652725729725395,13.352813526106832,-0.028198890519674356
portfolio_5stocks2,W5,42,pure_gift,Stage-B,13.48537241222978,2.3795262204072283,2.6213275070957223,7.227646422920028,4.322385815979413
portfolio_5stocks2,W5,42,ppo_test_only,Stage-D,2.6663185263175793,0.5043939864606578,0.4673655047945139,9.38464932817242,0.7876026803958727
portfolio_5stocks2,W5,42,ppo_train_plus_test,Stage-D,4.162853830139102,0.7434477420366644,0.7676536535047941,8.454515097756893,1.2839890969397707
portfolio_5stocks2,W5,42,equal_weight,Stage-D,12.538026408552195,1.9235243326284182,2.1056045667364165,8.541527510063228,3.458708087977458
portfolio_5stocks2,W5,123,pure_gift,Stage-B,3.783787186402532,0.8767297248237322,0.9125684216510619,6.454516089289064,1.472287731223902
portfolio_5stocks2,W5,123,ppo_test_only,Stage-D,7.024034059608675,1.1540634556723595,1.2340273679451055,9.320844796878989,1.8707195734963797
portfolio_5stocks2,W5,123,ppo_train_plus_test,Stage-D,6.567440573784111,1.2528014567991639,1.280591694772018,5.734712323717217,2.806505650954149
portfolio_5stocks2,W5,123,equal_weight,Stage-D,12.538026408552195,1.9235243326284182,2.1056045667364165,8.541527510063228,3.458708087977458
portfolio_5stocks2,W5,456,pure_gift,Stage-B,12.617325274722635,2.343264149771573,2.5938233292758586,7.923847855067074,3.699688885643092
portfolio_5stocks2,W5,456,ppo_test_only,Stage-D,4.304834912185385,0.5989327850690256,0.6902030845266416,11.446992937469483,1.0620415936254028
portfolio_5stocks2,W5,456,ppo_train_plus_test,Stage-D,0.40762430183036713,0.14086738309333527,0.14497317629357087,8.937774157497188,0.251401848750523
portfolio_5stocks2,W5,456,equal_weight,Stage-D,12.538026408552195,1.9235243326284182,2.1056045667364165,8.541527510063228,3.458708087977458
portfolio_5stocks2,W6,42,pure_gift,Stage-B,5.121475295313305,1.0535587332733407,0.9679592085144383,9.757029133267496,1.316968377185467
portfolio_5stocks2,W6,42,ppo_test_only,Stage-E,12.140801690012548,1.5623791709387558,1.5528854667180563,10.058925031210835,2.9392619282830723
portfolio_5stocks2,W6,42,ppo_train_plus_test,Stage-E,3.3778255074905283,0.7666226240243182,0.7587645148503313,8.86173364169943,0.981074866089031
portfolio_5stocks2,W6,42,equal_weight,Stage-E,5.81912005262637,1.1213983234173173,1.0365338948758787,10.409219549408311,1.3979809384732815
portfolio_5stocks2,W6,123,pure_gift,Stage-B,6.119614480013369,1.2545479639437078,1.1505201081396634,7.780749944065324,1.943803967045673
portfolio_5stocks2,W6,123,ppo_test_only,Stage-E,-0.5797633334078678,-0.07269154627590249,-0.06631740159804222,8.491982976401854,-0.09433729587591916
portfolio_5stocks2,W6,123,ppo_train_plus_test,Stage-E,0.4206614338572834,0.14467910562599562,0.14159962381403665,11.256555663745713,0.1552996460820213
portfolio_5stocks2,W6,123,equal_weight,Stage-E,5.81912005262637,1.1213983234173173,1.0365338948758787,10.409219549408311,1.3979809384732815
portfolio_5stocks2,W6,456,pure_gift,Stage-B,3.984118938824488,0.8949421620372366,0.8560839002767062,8.689669769979421,1.1629759318519328
portfolio_5stocks2,W6,456,ppo_test_only,Stage-E,3.587613845259008,0.6801613157748261,0.6206948056928162,11.196869618897532,0.8503852612678858
portfolio_5stocks2,W6,456,ppo_train_plus_test,Stage-E,-1.4301034246317346,-0.2293493766178921,-0.20693990295921763,13.407739870580146,-0.2060682724025763
portfolio_5stocks2,W6,456,equal_weight,Stage-E,5.81912005262637,1.1213983234173173,1.0365338948758787,10.409219549408311,1.3979809384732815
