dataset,window,method,method_label,n_seeds,mean_test_total_return,seed_sd_test_total_return,mean_test_sharpe,seed_sd_test_sharpe,mean_test_sortino,seed_sd_test_sortino,mean_test_max_drawdown,seed_sd_test_max_drawdown,mean_test_calmar,seed_sd_test_calmar
portfolio_5stocks2,W3,equal_weight,Equal Weight,3,-6.20660398444376,0.0,-0.4783454467141283,0.0,-0.4125051377568512,0.0,14.727331725324772,0.0,-0.8238519771549256,0.0
portfolio_5stocks2,W4,pure_gift,Pure GIFT,3,-1.9059244263576895,4.854757864367238,-0.13319516779169457,0.6356188935467907,-0.14711927124545618,0.681709492432031,10.082855213195165,1.977375135223795,-0.23791303795771843,1.2006023306109062
portfolio_5stocks2,W4,ppo_test_only,PPO-TestOnly,3,6.942274997715399,10.03924781005811,0.8816176822650442,0.9718942217038973,0.9532499701339351,1.0344031276428187,12.427247876856484,2.9320929678096697,1.5416448692763645,1.7004761984164363
portfolio_5stocks2,W4,ppo_train_plus_test,PPO-Train+FineTune,3,-8.134450344435965,9.836481665121505,-0.6453975044093516,0.9797837110144235,-0.7215262739829914,1.0296638123730848,17.050266820499832,5.279862994574957,-0.7762754302725892,1.4246260617136155
portfolio_5stocks2,W4,equal_weight,Equal Weight,3,-1.3835304446524699,0.0,-0.015438249292192946,0.0,-0.01652725729725395,0.0,13.352813526106834,2.175583928816829e-15,-0.028198890519674353,4.2491873609703695e-18
portfolio_5stocks2,W5,pure_gift,Pure GIFT,3,9.962161624451648,5.368203561787467,1.866506698334178,0.8573637369345167,2.0425730860075473,0.978709367509041,7.202003455758722,0.735001449525583,3.164787477615469,1.4984506699969165
portfolio_5stocks2,W5,ppo_test_only,PPO-TestOnly,3,4.6650624993705465,2.201077941191215,0.7524634090673477,0.35099336772286616,0.797198652422087,0.3943711979396261,10.050829020840297,1.2095342145331833,1.240121282505885,0.5630895423675979
portfolio_5stocks2,W5,ppo_train_plus_test,PPO-Train+FineTune,3,3.712639568584527,3.104489295687276,0.712372193976388,0.5566180138411303,0.7310728415234609,0.5686923348628026,7.7090005263237655,1.7267730771351566,1.4472988655481476,1.2853565343518691
portfolio_5stocks2,W5,equal_weight,Equal Weight,3,12.538026408552193,2.175583928816829e-15,1.9235243326284184,2.7194799110210365e-16,2.1056045667364165,0.0,8.541527510063228,0.0,3.458708087977458,0.0
portfolio_5stocks2,W6,pure_gift,Pure GIFT,3,5.075069571383721,1.0685038231187896,1.0676829530847618,0.18021848789777384,0.9915210723102694,0.14862550654019518,8.742482949104081,0.9891975446468408,1.4745827586943576,0.4135877477391609
portfolio_5stocks2,W6,ppo_test_only,PPO-TestOnly,3,5.049550733954562,6.485070410463046,0.7232829801458931,0.8183878487775905,0.7024209569376101,0.8126892733626644,9.915925875503406,1.3581014343883389,1.2317699645583462,1.5523439638599668
portfolio_5stocks2,W6,ppo_train_plus_test,PPO-Train+FineTune,3,0.7894611722386924,2.4250886765966366,0.22731745101080725,0.5031022546279894,0.23114141190171678,0.4890394201950127,11.175343058675097,2.2740909774396303,0.3101020799228253,0.6085228450594138
portfolio_5stocks2,W6,equal_weight,Equal Weight,3,5.81912005262637,0.0,1.1213983234173173,0.0,1.0365338948758787,0.0,10.409219549408311,0.0,1.3979809384732815,0.0
