dataset,window,method,seed,method_label,test_total_return,test_sharpe,test_sortino,test_max_drawdown,test_calmar
portfolio_5stocks2,W3,pure_gift,42,Pure GIFT,-2.757400592629511,-0.16566369487094532,-0.14435010361271655,10.91228986503253,-0.35817385686333914
portfolio_5stocks2,W3,pure_gift,123,Pure GIFT,-7.04329179256673,-0.5340102527970949,-0.4409244530068397,18.62334065555084,-0.7537591680367102
portfolio_5stocks2,W3,pure_gift,456,Pure GIFT,-6.80011230563744,-0.5623335327255665,-0.47206713911459797,16.88995452184431,-0.8196599565359369
portfolio_5stocks2,W3,pbir,42,PBIR-GIFT,-9.085207087542258,-0.7852970643940659,-0.6686597285569921,16.412163071891875,-1.1993142363538223
portfolio_5stocks2,W3,pbir,123,PBIR-GIFT,-0.4369951722499321,0.09018060115460214,0.0801793607014304,16.534144549357325,0.14173622129575367
portfolio_5stocks2,W3,pbir,456,PBIR-GIFT,1.0961446662071994,0.23270140655719262,0.19929061536420767,11.102542240220634,0.40164605887505844
portfolio_5stocks2,W3,sma,deterministic,SMA,-1.0657000311585119,0.09966149019196847,0.08930357592322663,18.529488375219536,0.1862064225256699
portfolio_5stocks2,W3,wma,deterministic,WMA,-1.1083410070032995,0.09654355050267348,0.08763120581596008,18.43965851590405,0.18118236050843015
portfolio_5stocks2,W3,atr,deterministic,ATR,-8.400814427212966,-0.4649299655022482,-0.4191325365081899,21.14451366166034,-0.7319779032545727
portfolio_5stocks2,W3,bollinger,deterministic,Bollinger Bands,-7.30518566546654,-0.5280453227422524,-0.4120084577312552,17.305410237154746,-0.8337473411813471
portfolio_5stocks2,W3,turn_of_month,deterministic,Turn-of-the-Month,2.29079206306555,0.5451536821577996,0.2836894140440772,4.173767990896858,1.4506871602217817
portfolio_5stocks2,W3,xgboost,42,XGBoost,-29.77982648656461,-2.3163066119362026,-1.9309538124785848,33.29387763538847,-2.3673335071591324
portfolio_5stocks2,W3,xgboost,123,XGBoost,-24.740526125428573,-1.7642875152817084,-1.4709320554830605,27.08724198016984,-2.2838520542555267
portfolio_5stocks2,W3,xgboost,456,XGBoost,-25.335759205923424,-1.918497308073246,-1.643377295445417,29.479436104797056,-2.1816658632511983
portfolio_5stocks2,W4,pure_gift,42,Pure GIFT,-7.307462646201679,-0.8378740394372658,-0.9038638193939044,10.439952986193171,-1.5627563644306015
portfolio_5stocks2,W4,pure_gift,123,Pure GIFT,-0.5036977941040299,0.04143061147681898,0.04355351239888378,11.857348392497922,0.07090068349356039
portfolio_5stocks2,W4,pure_gift,456,Pure GIFT,2.0933871612326405,0.3968579245853632,0.418952493258652,7.951264260894396,0.7781165670638859
portfolio_5stocks2,W4,pbir,42,PBIR-GIFT,-3.2836405880788955,-0.3883382468455505,-0.39199833657237027,8.770449920435889,-0.7499152974286587
portfolio_5stocks2,W4,pbir,123,PBIR-GIFT,-3.231445327936211,-0.27024229673579364,-0.3067728841845553,12.537111597686671,-0.45308895267908
portfolio_5stocks2,W4,pbir,456,PBIR-GIFT,-2.1769453292975083,-0.19179298434601225,-0.19471057965737137,9.426723048311896,-0.3776905947818568
portfolio_5stocks2,W4,sma,deterministic,SMA,11.029469021338567,1.0164852903637278,1.0680791394598543,22.517842918199772,1.2996888728055924
portfolio_5stocks2,W4,wma,deterministic,WMA,-1.3647232948490462,-0.011840824707800705,-0.011009495302053564,20.311448310315708,-0.014268086113962982
portfolio_5stocks2,W4,atr,deterministic,ATR,-2.528412182427231,-0.1598529076310411,-0.16112762839933858,19.531503808663615,-0.18448406355611904
portfolio_5stocks2,W4,bollinger,deterministic,Bollinger Bands,-3.3299272538103275,-0.3173579973252488,-0.30387739476119385,12.772989309598243,-0.4865294168219299
portfolio_5stocks2,W4,turn_of_month,deterministic,Turn-of-the-Month,-3.179943605871105,-0.7009649892676094,-0.35759526498036937,7.398260001417796,-0.9763955380085246
portfolio_5stocks2,W4,xgboost,42,XGBoost,0.3482904931408015,0.18215884745272123,0.21192438421654283,11.09497485585842,0.5184046895230189
portfolio_5stocks2,W4,xgboost,123,XGBoost,0.1556262345338233,0.17824389972836777,0.20133794592211082,14.043645727587078,0.4304047452260431
